feature,mean_shap,abs_mean_shap
pts_roll20,0.08189416627458251,1.6841279455238782
pts_roll10,0.16637032140218047,1.1297339341288006
usg_pct,-0.20227735748380005,0.9344758471551634
min_roll5,-0.053061677056115204,0.875464436050819
pts_roll5,0.137832918943775,0.7657371001685798
ts_pct,0.3620925369972514,0.47987604278656687
pie,0.027993088820514416,0.24003782047380035
pts_per_min_roll10,-0.10002785930346138,0.19369590482321264
opp_pts_allowed_roll10,0.13652620453230163,0.13692048233301946
opp_pts_allowed_roll20,0.1249883060377117,0.1249883060377117
fg_pct_roll20,-0.016410598625618257,0.12246835205118449
fg_pct_roll10,-0.010010341598502904,0.06763146722646617
team_net_rating_roll10,0.005531151531675908,0.05602531359835417
opp_is_back_to_back,-0.05124952524325445,0.051249912943700196
opp_days_rest,0.04654131759319176,0.05036778294836085
opp_net_rating_roll20,0.003925548332701621,0.039364567536313524
net_rating,-0.0046066445523887415,0.038954960853675766
min_season_avg,-0.0025983070605824655,0.03762316865903711
pts_season_avg,0.0012788126460416176,0.035382385227390775
fg_pct_roll5,-0.0011136778466695114,0.029993716626742214
age,-0.0030639514155401735,0.029033891009418562
pts_form_delta,0.0029924752732766765,0.028868720406976456
fg3_pct_roll5,0.0025051146261983216,0.027448671061979516
scoring_pct_pts_2pt_mr,-0.01002573727547956,0.024059317420920403
fg3_pct_roll20,-0.006174453700250108,0.021779003188930862
ast_per_min_roll10,-0.0035492281220048387,0.017430645155016012
team_net_rating_roll20,0.002341200736624013,0.015670538546264438
plus_minus_roll5,-0.0001233264667045667,0.014694918639976896
fg3_pct_roll10,-0.0007274372358237418,0.012609798079554944
min_form_delta,0.00048740106846583575,0.012391923287875736
scoring_matchup_edge,-0.0020105875607977376,0.009655725562794211
min_roll20,-0.00463283276105536,0.008632204430123414
tov_roll20,-0.00225029738997008,0.006513422220301158
ast_roll20,-0.004167681148641083,0.006231896121322461
pts_std20,-0.0012573430608807548,0.005868320633976156
reb_form_delta,0.00047137066777669037,0.005309141555431865
team_days_rest,0.00041824134572508145,0.005022849193618855
ast_season_avg,-0.0007738106122712942,0.004824615967387898
pts_std10,-0.0002263663659315946,0.00352162322974171
team_is_back_to_back,-0.0005320711340904302,0.003184138308546045
scoring_pct_fga_3pt,-0.0021451428616156933,0.0028351117233159097
tov_roll10,-0.0007787134232784586,0.0025727877210991188
min_roll10,-0.0014762939952484488,0.002049251705579743
ast_form_delta,2.90555565875501e-05,0.0019170895465765961
ast_std20,-9.075241069798865e-05,0.0009000940936386767
min_std10,0.0003708858491716667,0.0007439509432855634
min_std5,-9.360817792785225e-05,0.0005994025651774228
team_opp_pts_allowed_roll20,0.00044895959220265694,0.0005052794029532637
reb_per_min_roll10,6.8383168724885e-05,0.0002199128751915536
ast_std10,-3.7925627261878554e-05,0.00013518070678546895
reb_std5,1.8684690379188793e-05,0.00011823192431882112
pts_std5,-9.803394341654404e-06,8.773080494902177e-05
ft_pct_roll5,4.917062588801342e-05,5.078808547782065e-05
reb_roll5,-4.494706027340478e-05,5.077272560721756e-05
tov_roll5,1.581601999326538e-05,3.354379008857568e-05
team_sos_roll20,3.030173461771179e-06,2.7640078004599382e-05
plus_minus_roll10,-6.1162436134864406e-06,2.1576006848358057e-05
ft_pct_roll10,3.586891340990036e-06,9.352975105387124e-06
ast_roll10,5.755926360024041e-06,6.957167628757999e-06
rest_advantage,-2.6150989482532567e-06,2.6150989482532567e-06
ft_pct_roll20,0.0,0.0
blk_roll5,0.0,0.0
ast_roll5,0.0,0.0
ast_std5,0.0,0.0
blk_roll10,0.0,0.0
blk_roll20,0.0,0.0
min_std20,0.0,0.0
opp_star_player_out,0.0,0.0
opp_missing_minutes,0.0,0.0
opp_net_rating_roll10,0.0,0.0
opp_missing_usg_pct,0.0,0.0
opp_rotation_availability,0.0,0.0
opp_sos_roll10,0.0,0.0
opp_sos_roll20,0.0,0.0
plus_minus_roll20,0.0,0.0
stl_roll5,0.0,0.0
stl_roll10,0.0,0.0
role_opportunity_index,0.0,0.0
reb_season_avg,0.0,0.0
reb_roll20,0.0,0.0
reb_std20,0.0,0.0
reb_std10,0.0,0.0
reb_roll10,0.0,0.0
stl_roll20,0.0,0.0
team_missing_minutes,0.0,0.0
team_missing_usg_pct,0.0,0.0
team_rotation_availability,0.0,0.0
team_opp_pts_allowed_roll10,0.0,0.0
team_star_player_out,0.0,0.0
team_sos_roll10,0.0,0.0
