feature,mean_shap,abs_mean_shap
reb_roll20,-0.08171480764041678,0.657799747383017
reb_roll10,-0.03382017389433824,0.42820394639927606
reb_roll5,-0.0240471905526443,0.3329788194593603
reb_season_avg,-0.011487258065168452,0.2261485659637992
pie,-0.02246964014455798,0.07772491793087825
min_roll5,-0.007928557908421537,0.07440661699866494
min_form_delta,0.001903365117244044,0.044440052260076295
reb_std20,0.000562892247065561,0.030466119732549812
min_roll10,-0.00160267594500477,0.022274952979350553
reb_per_min_roll10,-0.00012820237218318006,0.021815587273932725
scoring_pct_fga_3pt,-0.007809313936744476,0.02108193828647067
blk_roll5,0.0012399796218807207,0.019708358141047242
blk_roll20,0.0019473059506372118,0.018474338936305394
pts_roll5,0.002003827482205939,0.016717421401959576
pts_form_delta,-0.0005598748817527956,0.01590158890280174
blk_roll10,0.003016178048288787,0.01561491828343119
team_is_back_to_back,-0.0007712921263142305,0.013496610337146274
reb_std10,0.0007051458211763845,0.012045789951813058
min_roll20,0.0004034084136860127,0.009210056421594313
reb_form_delta,0.0018936148348238444,0.008837861329055636
team_net_rating_roll20,0.0006332233360616143,0.007992070078957457
team_net_rating_roll10,0.0005126745568147962,0.007896645359520496
age,0.0015067158987815904,0.007863662669502808
fg_pct_roll5,0.0005045897531046486,0.007620594806445153
ts_pct,0.0014733153831373586,0.0075264212892814245
fg_pct_roll20,0.0010257145277300385,0.007314963067618411
ast_season_avg,-0.001254387140224849,0.007060481720680673
fg_pct_roll10,0.0007445854950350483,0.006945833590854513
opp_net_rating_roll20,0.0011027452048489091,0.006113016594508319
opp_pts_allowed_roll20,0.003496970256912194,0.006063715604935339
min_season_avg,0.0013921209733513123,0.005888245332152131
ft_pct_roll20,-0.00041423340518850315,0.005561967170276642
opp_pts_allowed_roll10,0.002969812222454803,0.005369516164465963
opp_net_rating_roll10,0.000585867760089063,0.005314055845192824
min_std20,0.0007824939515033059,0.005194964987693016
net_rating,0.0006727158882951352,0.005173156304269683
pts_roll10,0.0005462716356327753,0.005120693015732896
team_opp_pts_allowed_roll10,0.0018226932193047215,0.004292114412037172
ft_pct_roll10,-0.00020654392126021997,0.004253763846285735
team_opp_pts_allowed_roll20,0.002041392805481967,0.004129652292469269
stl_roll5,0.0010347253925806058,0.003999479315218522
ft_pct_roll5,0.0001482559723888933,0.0036526527305563595
pts_season_avg,0.0005639805400686075,0.0036299785398184892
ast_form_delta,0.0003810082237340468,0.0035682624714438974
scoring_matchup_edge,0.0004418936941849018,0.003553675704737328
scoring_pct_pts_2pt_mr,0.002337488615890337,0.003537419399317608
stl_roll10,0.0004147445522492613,0.0033949740008844247
opp_is_back_to_back,-0.00020741582380151587,0.003338955173678435
ast_roll20,-0.00024268019624370388,0.0033087863884895033
min_std10,0.0004921100255639235,0.003234688488904707
ast_per_min_roll10,-0.0008459585983846457,0.003152024373780986
ast_std20,-0.0002384408856134022,0.0030574199523691692
usg_pct,-0.0005033487540471865,0.0030414946952820546
tov_roll5,0.0005371147505596882,0.002921140026405322
reb_std5,0.0011220629586974015,0.0028489033216125494
pts_std5,0.0008280496677003395,0.0027745247363039154
min_std5,0.00010701308890434137,0.002660238496687574
fg3_pct_roll20,2.0729456866299716e-05,0.002588976046134421
plus_minus_roll10,0.000218302967116095,0.0025694541235133286
pts_roll20,0.0002638930653367037,0.0025628512418798028
stl_roll20,0.0003386695183070266,0.002491874180800329
tov_roll10,9.80056907902637e-05,0.002489824084013858
plus_minus_roll5,0.0002368207792087528,0.002461953100733652
plus_minus_roll20,0.0009502959013531369,0.002349505792317123
fg3_pct_roll5,0.0002663578822005508,0.0022275330646348806
pts_per_min_roll10,0.00048356775447240573,0.002226512791764785
team_sos_roll20,0.00011270404698051683,0.0020779574250548052
tov_roll20,-3.614181792590905e-05,0.0020543917641290452
ast_std10,0.00016211463459599081,0.002045636567396903
ast_roll10,-0.00012785383766757046,0.002011185597252561
fg3_pct_roll10,0.00015101685800180677,0.0019520480556150471
opp_sos_roll20,0.00011597548706091245,0.0017538148968970692
pts_std20,0.000270102643960128,0.001720247368813357
ast_roll5,0.0004805084767526687,0.0017120636252131683
pts_std10,0.00037534563937978264,0.001706057118821296
ast_std5,0.0003269000014279869,0.0016613003656439052
opp_sos_roll10,2.5588672734179178e-05,0.001644393563050128
team_days_rest,-0.0002008928752186287,0.0016231991332091523
team_sos_roll10,0.00015459747135173338,0.0015552920137940685
rest_advantage,-0.0002689853544694883,0.0013682355316234239
opp_days_rest,-1.6260655374035657e-05,0.0009511936803333263
opp_rotation_availability,0.0,0.0
opp_star_player_out,0.0,0.0
opp_missing_minutes,0.0,0.0
opp_missing_usg_pct,0.0,0.0
role_opportunity_index,0.0,0.0
team_rotation_availability,0.0,0.0
team_missing_usg_pct,0.0,0.0
team_missing_minutes,0.0,0.0
team_star_player_out,0.0,0.0
