feature,mean_shap,abs_mean_shap
diff_cum_win_pct,0.0013255645487856382,0.023403103377560134
diff_net_rtg_game_roll20,-0.0009225623494266512,0.02297519634321541
diff_plus_minus_roll20,-0.00047640733244928694,0.02125140159426643
diff_away_net_rating_season,-0.000848970114862454,0.02061844136902549
diff_home_net_rating_season,0.0003753320237167962,0.01734537885133391
diff_win_pct_roll20,0.0001775536632003087,0.011960933147051787
diff_net_rtg_game_roll10,0.00022328657084791785,0.010620085940761092
diff_plus_minus_roll10,6.843378913885482e-05,0.009881424356521553
diff_off_rtg_game_roll20,-0.0004269798023719029,0.007178491026512293
home_rotation_availability,-0.0022347388099995757,0.007055704094655417
home_missing_usg_pct,-0.0019173416816606417,0.005924228713013311
home_missing_minutes,-0.0019136591356424433,0.005911277354532306
diff_def_rtg_game_roll20,-0.0003763970645127923,0.005519861928349269
diff_net_rtg_game_roll5,-0.0006930158345535728,0.005055088653066719
diff_ts_game_roll20,-5.684558432025079e-05,0.00492949815279215
diff_missing_usg_pct,-0.00042555221117992716,0.0048680834211545735
diff_off_rtg_game_roll10,-6.781737298147198e-05,0.004340157433343688
diff_plus_minus_roll5,-0.0008410773460554536,0.0042748041442419865
diff_rotation_availability,-0.000168688291598863,0.004143785029795954
diff_missing_minutes,-0.00034982065251084736,0.004082795782514242
diff_efg_game_roll20,-0.0003412516368643085,0.0040286840393395605
diff_opp_pts_roll20,-7.408827757807614e-05,0.0036017702005648983
diff_win_pct_roll10,0.00019638930837370536,0.0030122073444397083
diff_three_style_mismatch,0.0003638772119697425,0.0028880688942516226
diff_four_factors_composite,-0.00014919026115902873,0.0028715496390249373
diff_net_rating_std_10,-0.00022283479722893262,0.002123277787381952
diff_ast_roll20,-2.1231782941727104e-05,0.0018505591124186249
diff_opp_pts_roll10,-4.947481245815502e-05,0.0018478621936264675
diff_opp_pts_roll5,3.831134197651328e-05,0.001837702139937585
home_star_player_out,-0.0004644911938144889,0.0018289999221010093
diff_def_rtg_game_roll10,-8.899267004638e-05,0.001828302632762091
diff_off_rtg_game_roll5,-0.0002060642907751575,0.0015836397573619789
diff_pts_roll20,-0.0002694549278586325,0.0014780696081139692
away_travel_miles,-0.00021220668729819524,0.001447446941108018
diff_def_rtg_game_roll5,-7.432495178404595e-05,0.0013607164361730199
diff_sos_roll10,-0.00010093506716043143,0.001203630463531154
diff_pace_game_roll20,0.00010698120371413149,0.001179600620281493
diff_fg_pct_roll20,-6.224835474248443e-05,0.0011434840156939242
away_rotation_availability,6.484624841372597e-05,0.0011081070563258018
diff_tov_roll20,-7.640483397779426e-05,0.0010545541694229087
diff_sos_roll20,8.326193844776511e-05,0.0009549524766611737
diff_travel_miles,-3.103293196290741e-05,0.0009518798620977054
diff_tov_poss_game_roll20,-1.722185604562076e-05,0.0009300102750905296
season_month,9.312262441934556e-07,0.000901906073173907
diff_pts_roll5,-7.791415280765554e-05,0.0008899106401269227
diff_net_rating_trend_5,6.320592714742127e-05,0.0008779934232493889
diff_rebounding_edge,-0.00011337508680599462,0.0008768180276061527
away_missing_usg_pct,1.1668031590027224e-05,0.0008765895665471648
diff_days_rest,-0.0001793445515508062,0.00082373608702778
diff_is_back_to_back,-0.00021114316430907409,0.0007628369522079173
diff_fg3_pct_roll20,2.100104194899548e-05,0.0007516057101029312
diff_pts_roll10,1.8575402528650427e-05,0.0007102684706381746
away_days_rest,-0.00011438212520394933,0.0006909653991355432
away_missing_minutes,0.00013240864069365084,0.0006866326018321804
diff_games_last_7_days,-3.527116172029266e-05,0.0005757862372715742
away_is_back_to_back,-8.18601105125437e-05,0.0005481106444704416
away_star_player_out,0.000130006094890284,0.0005337064367102766
home_travel_miles,1.2986467355130496e-05,0.0004932070288152232
diff_win_pct_roll5,-7.445985148727652e-05,0.0004919243735306748
diff_close_playoff_race,-4.104625134309235e-05,0.0004216882433932061
home_days_rest,-7.761412088802446e-05,0.00037908715878167114
diff_games_last_5_days,-4.355881636079658e-05,0.0002864996153677726
home_is_back_to_back,-2.9122130221948347e-05,0.00027898461600212276
diff_cross_country_travel,3.7749996048193835e-07,0.0002618087335372353
away_cross_country_travel,-1.9744264113611192e-05,0.00024830401069223624
home_cross_country_travel,-2.5424828928346468e-05,0.0002277566754209052
diff_revenge_game,6.047331512939628e-05,0.00019272064324108316
diff_blowout_loss_last_game,3.632730682227236e-06,0.00012944396297793188
