feature,mean_shap,abs_mean_shap
ast_roll20,0.03636609565445034,0.4876094748059259
ast_roll10,0.03777387841228344,0.3796252566130209
ast_roll5,0.012361134935383902,0.2339684941750866
ast_season_avg,0.016126428668949557,0.18479772897554708
min_roll5,-0.007543059845799724,0.05247360839803872
ast_std20,0.013198532257710324,0.05246479114911729
pie,-0.011330536684529933,0.030427648123805905
ast_per_min_roll10,0.0007333218967241734,0.028194274247534887
min_form_delta,0.0012482666631893644,0.025824631434554213
tov_roll10,-0.0011672019175412252,0.024067086925286127
tov_roll5,-0.00048234985314722547,0.021774803758916342
pts_roll5,-2.4132662912424734e-05,0.017282095927268065
tov_roll20,-0.0031979700921200512,0.01717916230178238
min_roll10,-0.00031851451982583997,0.01437359546044508
ast_std10,0.005374677467797049,0.013953552927733353
pts_form_delta,0.000191521106888308,0.012405909114381492
min_roll20,0.0009737710545860512,0.01179282964992398
usg_pct,-0.0009004552503382212,0.0073857019711678785
team_net_rating_roll10,0.00010450475913984532,0.006228903685508629
team_net_rating_roll20,7.792911213004428e-05,0.006211009630354168
opp_net_rating_roll20,0.00019666280692328986,0.0060658461889809955
opp_pts_allowed_roll10,0.003594307572553196,0.005932172051967253
opp_pts_allowed_roll20,0.0037961812666170098,0.005803146439319438
team_is_back_to_back,-0.00017515223819107456,0.005746063262700004
pts_roll10,-0.00011569330276644696,0.005388618672400519
ast_form_delta,0.0005674860587678976,0.004948377722282583
stl_roll5,0.0007281716537874669,0.004452184800779806
ast_std5,0.0020484442934208544,0.0043094815117248894
reb_form_delta,0.0007066712823376943,0.004301193104635002
opp_net_rating_roll10,0.0001785806050107319,0.004238496926019068
min_season_avg,0.0017499789898058906,0.003962828274033418
stl_roll20,2.2450135875037106e-05,0.003927949822865396
scoring_pct_fga_3pt,-8.15016255641885e-05,0.003779350000656688
stl_roll10,0.0004926229664110637,0.003692830626670236
scoring_matchup_edge,-0.00015097728541129033,0.003607403232915184
opp_is_back_to_back,-0.00034557665685667246,0.003522736851967542
age,0.0007751700837098467,0.0035148351668046534
reb_season_avg,0.0006591826669082844,0.00345608188433803
plus_minus_roll5,0.0003380469838977717,0.0033723113348620064
reb_per_min_roll10,-2.2146866033435125e-05,0.003302545346581754
net_rating,0.00027977574575003915,0.0032468353889613067
pts_season_avg,0.00048434363180390144,0.003142951660713237
scoring_pct_pts_2pt_mr,-0.001875126600261639,0.003103476809689776
min_std10,-2.522780754845933e-05,0.0028059053664050604
plus_minus_roll10,0.0004652473843883069,0.002739627712006091
pts_std5,0.0004495278207340042,0.0026842562367533356
min_std20,0.0006855373289397007,0.002597118887510945
reb_roll20,4.873704661463444e-05,0.0025209622873323626
team_opp_pts_allowed_roll20,0.001335504763621383,0.0024657897869367223
reb_std20,0.0005229941053163929,0.0023984157165235593
blk_roll20,0.0006352242910627501,0.002336029071284563
pts_roll20,0.0011227295422909429,0.00224068694578542
min_std5,0.00023316439756383104,0.0021711250787975044
team_opp_pts_allowed_roll10,0.0009303969659039977,0.0020716869787925146
plus_minus_roll20,0.0005004002122069614,0.0019921717146942587
pts_per_min_roll10,9.192661534056656e-05,0.0019511775123826824
blk_roll10,0.0003340841921156555,0.0018538780788841826
reb_roll10,0.00026481450858975255,0.0018310429383682461
pts_std10,0.000331578194649464,0.0018118826987419125
ft_pct_roll20,0.0004480591875393646,0.0018081756016770966
pts_std20,0.0007219159713536958,0.001756173822381162
ft_pct_roll5,0.00043026940243169853,0.0016878572084048455
reb_std10,0.00038901603054883555,0.001676970858262399
ft_pct_roll10,0.0002515398603015257,0.001620332594417491
fg3_pct_roll10,0.00032213106999668653,0.0016160173612959961
ts_pct,0.000339835416311515,0.0015754641285735608
fg3_pct_roll5,0.00011933482766199361,0.0015632111221313813
blk_roll5,0.00029827093675364487,0.0015372403560623814
team_sos_roll20,0.00015933018069850158,0.001536418966084655
opp_sos_roll20,-6.095246170938287e-05,0.001522208767133071
reb_roll5,0.00046374595862302406,0.0014737369126498479
fg_pct_roll20,0.00048139270722103594,0.0014663120289816849
fg3_pct_roll20,0.00031536423599349124,0.001434790902136872
team_sos_roll10,0.0001459315036897778,0.0014195283105407615
fg_pct_roll5,0.000357746208531578,0.0013155099002033171
team_days_rest,0.00024563085841075225,0.0012327891813651265
reb_std5,0.000326378550312037,0.0012283066252101607
fg_pct_roll10,0.0001225577463821953,0.001227399073937548
opp_sos_roll10,7.477420047610876e-05,0.0012214419909998618
opp_days_rest,0.0003649161240570946,0.0011968534149648749
rest_advantage,-0.00012199092002211698,0.0011386144657606105
opp_rotation_availability,0.0,0.0
opp_star_player_out,0.0,0.0
opp_missing_minutes,0.0,0.0
opp_missing_usg_pct,0.0,0.0
role_opportunity_index,0.0,0.0
team_rotation_availability,0.0,0.0
team_missing_usg_pct,0.0,0.0
team_missing_minutes,0.0,0.0
team_star_player_out,0.0,0.0
