feature,importance
home_plus_minus_roll20,0.21659382533572677
away_plus_minus_roll20,0.17243456033274054
home_cum_win_pct,0.15642850273659376
away_cum_win_pct,0.10255893939361514
away_plus_minus_roll10,0.01657070365601779
home_plus_minus_roll10,0.014606921950445094
away_pf_roll20,0.013508557505158265
home_cum_wins,0.011849304546263047
away_cum_wins,0.009561330490184847
home_fg_pct_roll20,0.008011199555089787
away_days_rest,0.007956588205969157
home_cum_losses,0.007199832691096648
home_ft_pct_roll10,0.006998534903135624
home_dreb_roll20,0.0068693709641982825
home_ft_pct_roll20,0.006793304529618058
away_cum_losses,0.006506646906765546
home_pf_roll20,0.006454041112629984
away_ft_pct_roll5,0.006276891552998547
home_plus_minus_roll5,0.0059947306516586136
away_ft_pct_roll10,0.005589839274058722
away_fg3_pct_roll20,0.005416064697486971
away_tov_roll20,0.005232856654072786
away_pts_roll10,0.005029486291835578
home_ast_roll10,0.004861740626771656
away_is_back_to_back,0.004639415869565258
away_dreb_roll20,0.00459682112874398
home_pts_roll20,0.004596387164369529
away_plus_minus_roll5,0.004575714836760003
away_pf_roll10,0.004556582485254014
home_pf_roll10,0.00409187429416848
away_fg_pct_roll20,0.004052697685775521
away_pts_roll20,0.004050166810078872
away_reb_roll5,0.0038902842649231814
home_blk_roll20,0.003881347833497307
home_reb_roll5,0.003853189582882306
away_tov_roll10,0.003837702338686622
home_stl_roll20,0.003832058534118122
home_fg_pct_roll5,0.0036972083600077896
home_pf_roll5,0.0036283927119408984
away_ft_pct_roll20,0.003597046426452464
home_reb_roll20,0.0033390046774927373
away_oreb_roll10,0.003272027046015442
away_dreb_roll5,0.0032313096595821436
home_pts_roll10,0.0032280696242057883
away_pf_roll5,0.0031159341345773487
home_blk_roll5,0.003109386646616072
away_fg3_pct_roll10,0.003076757244224294
away_oreb_roll20,0.0030228344760429866
home_ast_roll5,0.003011188053554361
home_ast_roll20,0.003010254933207051
away_oreb_roll5,0.0029856341312843203
away_reb_roll20,0.0029652149945184154
home_dreb_roll10,0.002923486519029682
away_fg3_pct_roll5,0.00292235984957878
home_fg3_pct_roll20,0.0029216877537407092
home_fg_pct_roll10,0.002843266368930275
away_fg_pct_roll5,0.002839644133793693
home_oreb_roll20,0.002777169673340337
home_stl_roll5,0.0027447478513084648
away_blk_roll20,0.0027415298083268915
away_pts_roll5,0.00271552849630768
away_ast_roll20,0.0027029261576830593
home_pts_roll5,0.0026142387866787283
home_oreb_roll5,0.0025581933079349096
away_stl_roll10,0.0025436973251664777
away_stl_roll5,0.002495206167309402
away_stl_roll20,0.002450738465036349
home_oreb_roll10,0.0022552822795636114
home_fg3_pct_roll5,0.0022154894990224563
away_tov_roll5,0.002182460153681806
home_reb_roll10,0.002141297640862193
away_dreb_roll10,0.002136687372993237
home_blk_roll10,0.0020437207691068053
home_win_pct_roll20,0.002028521183136306
home_ft_pct_roll5,0.001920972743713002
home_season_game_num,0.0018922661947484737
home_win_pct_roll10,0.0018683154367294262
away_ast_roll5,0.0018630665225182576
home_fg3_pct_roll10,0.0018537935191792292
away_blk_roll10,0.0018421933504240832
away_fg_pct_roll10,0.0018249045498432126
home_dreb_roll5,0.0017793813515394555
away_blk_roll5,0.0017029404310804372
home_stl_roll10,0.0016593422190732206
away_win_pct_roll10,0.0016010761791316384
away_ast_roll10,0.0015809889813074927
home_days_rest,0.0015662290379571963
away_season_game_num,0.001538863467842272
away_reb_roll10,0.0014220858874889708
home_tov_roll20,0.0013224361442763747
home_tov_roll5,0.0013014429923601167
home_tov_roll10,0.0012667278795937423
away_win_pct_roll20,0.0012086477959923454
away_win_pct_roll5,0.0005184813977071907
home_is_back_to_back,0.000427233907220233
home_win_pct_roll5,0.00019244993506518733
